Latitude,Longitude
40.003347,-82.977651
39.962289,-82.881042
39.97089,-82.92308
40.12467,-83.08566
40.06291,-82.9904
39.841742,-82.743666
40.00475,-82.97285
40.006803,-83.010442
39.93868,-83.06257
39.945828,-82.801801
39.956011,-82.794947
40.09005,-83.049538
40.11884,-82.99546
39.92511,-83.03862
39.94989,-82.931722
39.98618,-82.95337
39.95778,-82.99704
39.95229,-83.127014
39.983334,-82.98333
39.957242,-83.041982
39.95308,-83.03697
39.87498,-82.95089
39.91694,-83.01646
40.180029,-83.096703
39.86989,-83.096287
39.856639,-83.027924
39.888985,-83.069006
39.959999,-83.048546
39.9869,-83.0019
39.94313,-83.05172
39.9459,-83.0701
40.061329,-83.10276
40.02183,-82.95993
40.111217,-83.001192
40.04808,-82.90151
39.96471,-82.81841
39.937115,-82.791066
39.95478,-82.82876
40.05044,-82.81937
40.063661,-83.160886
39.931875,-82.789005
39.931875,-82.789005
40.01938,-82.98152
39.95496,-82.81913
39.972354,-82.966395
39.98122,-82.94332
39.97735,-82.95077
39.843838,-82.935257
40.03436,-82.932723
40.100189,-83.05899
40.10708,-83.034407
39.73001,-82.98628
39.62355,-83.02621
39.66877,-82.96523
39.58777,-82.95368
39.94176,-83.01101
39.94667,-82.99442
39.863472,-82.937225
39.980483,-82.83456
39.936726,-82.788934
40.080288,-82.753268
39.874172,-82.932549
40.059128,-82.944877
39.879452,-82.920807
40.03694,-82.94439
40.01696,-82.94774
39.898586,-82.765419
39.908053,-82.743487
39.94708,-82.91948
39.94904,-82.89231
39.91682,-82.90374
39.939393,-82.938362
39.952463,-82.946324
39.953375,-82.996386
39.974775,-83.002511
40.01342,-82.96133
39.898715,-82.957888
40.033283,-82.964226
39.95508,-82.81191
39.912534,-82.978805
39.91997,-82.82554
40.031183,-82.96413
39.9548,-82.97795
39.95303,-82.95773
39.948555,-82.947321
40.011388,-82.894148
39.956952,-82.98284
39.962646,-82.930748
39.94916,-82.95925
40.02076,-82.9214
39.901553,-82.824958
39.948249,-82.935603
39.95867,-82.947829
40.03179,-82.86569
40.07042,-83.01948
39.93675,-82.87863
39.91245,-83.01869
40.094249,-82.986616
39.99085,-83.02503
40.143509,-82.989898
39.98555,-82.96685
40.01516,-82.90363
39.876041,-82.862801
40.08669,-82.81801
40.075559,-83.018814
40.150289,-83.083713
39.955773,-82.77122
39.88676,-83.06953
39.829558,-83.025878
40.11767,-83.08046
40.084663,-82.945914
40.06437,-83.07493
40.11381,-83.08093
40.163315,-83.076024
39.897408,-82.764022
39.91363,-83.019774
39.904179,-82.881607
39.94254,-82.96787
39.980314,-82.836267
40.01514,-82.98146
39.943719,-82.859
40.02414,-82.866001
40.008145,-82.891845
39.93507,-82.91299
39.993404,-83.001557
39.98246,-82.99993
39.98788,-83.02562
39.98195,-82.98945
40.00579,-83.00288
39.998716,-83.003817
39.885067,-82.883209
39.98281,-82.81402
40.005958,-82.867515
39.95459,-82.84165
39.94252,-82.83137
39.945335,-82.877803
40.006344,-82.790648
39.952661,-82.828955
39.942733,-82.841741
39.91474,-82.96689
39.945209,-82.884569
40.06207,-82.886728
39.987554,-82.767464
39.942562,-82.83763
40.04761,-82.97565
40.05954,-82.953
40.08663,-82.96459
40.05954,-82.952899
39.963226,-82.973866
40.06491,-83.08252
39.960377,-83.119431
39.951061,-83.12072
40.03104,-82.957306
39.954959,-82.306876
39.80113,-82.99223
40.072954,-82.38324
40.082092,-82.937069
39.942552,-82.40791
40.168075,-82.552776
39.93829,-82.78529
39.955357,-82.799458
40.096037,-83.019163
40.08148,-82.96886
40.053795,-82.82746
39.853971,-82.828285
40.006191,-82.867455
40.035686,-82.829758
39.752516,-82.583582
39.96702,-82.9846
39.96653,-82.98761
39.96202,-82.982409
39.954514,-82.876971
39.95547,-82.87685
39.972448,-83.04584
39.96294,-82.99435
39.98291,-83.00468
40.145777,-82.704743
39.99381,-82.98449
40.146907,-82.702518
39.854305,-82.900322
40.092422,-82.925446
39.94806,-82.93717
39.94327,-82.920935
40.1261,-83.08998
40.035,-83.0414
39.98507,-83.022
40.06823,-83.105103
40.03953,-82.97728
40.010651,-82.989027
39.926029,-82.831323
39.89988,-82.88208
39.89268,-82.84001
39.92977,-82.87873
39.970524,-82.757439
39.97633,-82.927018
39.981,-82.92757
39.95629,-82.80572
39.95598,-83.05285
39.95217,-82.98253
39.95643,-82.7721
39.871441,-82.885201
39.9554,-82.795175
39.95517,-82.80521
40.090374,-82.793538
40.082702,-82.80831
39.984505,-83.122955
39.947198,-82.846155
39.99745,-82.99889
39.910143,-82.778377
40.085632,-82.895348
39.892811,-82.867897
40.10321,-82.98836
40.01224,-82.97913
40.01135,-82.9729
39.955259,-82.978946
40.005133,-82.972657
40.231987,-82.47291
39.988976,-82.52542
39.95917,-82.599113
40.05722,-82.51553
40.03281,-82.89515
40.01492,-82.86681
40.049019,-83.095268
39.95718,-82.92852
40.099819,-83.109062
39.87056,-82.855263
39.955427,-82.876899
40.009511,-82.86587
39.925398,-82.785929
40.010531,-82.987401
40.07987,-82.9879
40.006288,-82.971915
39.91468,-82.91179
39.91997,-82.80296
39.92127,-82.882346
39.903287,-82.774901
40.05899,-83.04934
39.970336,-83.019583
40.0578,-82.91825
40.04982,-82.9144
40.062614,-83.019466
39.99225,-82.94986
40.081944,-82.916222
40.085762,-83.109985
39.94105,-82.99653
39.94598,-82.94424
39.940833,-82.977227
39.94121,-82.97785
40.06147,-82.95295
40.08388,-82.97493
40.07944,-82.95149
40.05393,-82.96263
40.06091,-82.99481
40.10295,-83.01175
39.966485,-82.913921
40.02274,-82.96474
40.06437,-83.07493
40.081861,-83.095686
39.993555,-82.834564
40.068192,-83.105026
40.0289,-83.0022
39.9093,-82.765957
39.908278,-82.747394
39.657397,-82.71643
39.94077,-82.79191
40.10218,-82.92514
39.861877,-82.925377
39.92226,-83.08432
39.95478,-82.82876
39.91453,-83.019163
39.908255,-82.759709
40.07687,-82.97605
40.115299,-82.974958
39.93807,-82.822
39.95851,-83.075
40.08367,-82.99134
39.9139,-82.951737
39.882221,-83.000744
39.970462,-82.927615
39.992636,-82.995867
40.0567,-83.07404
40.00319,-83.00867
40.07569,-83.13561
39.98444,-83.0294
39.932606,-82.828933
39.96282,-82.949669
39.91927,-83.12863
40.056222,-82.885073
39.99795,-83.00763
40.02272,-82.99623
40.031692,-82.865445
39.93037,-83.07327
39.94344,-82.853653
39.98113,-82.83312
39.95328,-82.83654
39.852608,-82.938499
39.845066,-82.940224
40.019367,-82.793449
40.044056,-82.809158
39.94314,-83.03768
39.9667,-83.09508
40.013009,-83.002307
40.109923,-83.016822
40.021675,-83.013246
40.03317,-83.00035
40.184183,-83.101925
40.07688,-82.97606
40.195873,-83.096327
40.051437,-82.55066
40.000268,-82.40448
40.159283,-83.078141
40.110501,-83.073817
40.078971,-82.865296
40.091663,-82.830996
39.965752,-83.046849
40.108445,-82.967276
40.110877,-82.992583
39.903741,-82.902162
39.984974,-82.857338
39.93096,-82.830763
39.97509,-83.10336
39.991026,-82.98532
39.944843,-83.012932
39.972286,-82.983727
39.978645,-82.990166
39.996136,-82.931694
39.97318,-83.01407
39.973248,-83.007286
39.973358,-83.007347
39.997711,-83.032875
40.095639,-82.983264
40.105672,-82.73276
39.997711,-83.032936
40.067792,-83.11024
40.067804,-83.110434
40.195873,-83.096327
39.95227,-82.93993
39.943072,-82.818764
40.132125,-82.614566
39.999855,-83.118118
39.952998,-82.967216
39.91793,-82.92053
40.02437,-82.99489
39.95419,-82.98931
39.95533,-83.01833
39.97998,-82.96495
39.99869,-82.98472
39.95309,-82.99888
39.95343,-82.99448
39.972096,-82.913497
39.948531,-82.931761
39.94238,-82.82839
40.139569,-82.718681
40.06876,-83.0826
