Latitude,Longitude
-84.486815,39.991115
-83.82337,40.75137
-84.360757,41.295763
-84.258325,40.288951
-81.74357,41.40965
-84.371706,39.354169
-81.839207,41.335576
-82.977651,40.003347
-81.465075,40.796554
-82.881042,39.962289
-82.92308,39.97089
-84.58588,39.2207
-81.537169,41.405762
-84.22411,40.46803
-81.45118,40.79224
-82.686681,41.442515
-84.270187,39.060904
-81.757734,41.417911
-82.10982,41.405226
-82.616072,41.282648
-83.08566,40.12467
-82.711033,41.455124
-84.473062,39.288331
-81.536013,41.435143
-82.708202,41.450167
-82.9904,40.06291
-81.73554,41.3777
-82.701416,41.455132
-84.26122,39.100064
-81.500681,41.420422
-81.405104,41.65339
-82.743666,39.841742
-81.437636,41.636936
-82.97285,40.00475
-82.136028,40.85711
-81.489164,41.335277
-83.010442,40.006803
-81.537022,41.486589
-81.415439,41.107822
-83.06257,39.93868
-81.381856,41.641037
-82.801801,39.945828
-83.52927,41.65966
-83.57426,41.72153
-81.51177,41.552874
-82.794947,39.956011
-80.68588,41.11476
-80.64623,41.07618
-80.65678,41.08764
-80.65322,41.11892
-80.61791,41.08354
-80.69466,41.11827
-80.62374,41.09882
-81.530518,41.428308
-81.901809,41.474008
-81.90413,40.17986
-84.363518,41.628935
-81.86041,40.26367
-81.439665,41.461099
-83.049538,40.09005
-81.425523,41.111311
-84.62556,39.2286
-84.58851,39.2276
-84.60475,39.26402
-84.300514,39.085945
-80.740411,41.2054
-81.581868,40.017813
-81.511401,41.407938
-82.99546,40.11884
-83.03862,39.92511
-82.931722,39.94989
-84.246174,39.081338
-82.9576,38.74155
-82.99034,38.746024
-81.555808,41.261755
-81.878783,41.249877
-81.497416,41.538885
-81.598245,40.845652
-84.171472,39.713325
-82.95337,39.98618
-80.81542,40.98346
-80.718185,41.182211
-81.753815,41.440109
-84.180991,39.729473
-84.277425,39.069117
-81.817587,41.342782
-82.99704,39.95778
-81.522,40.787
-82.95622,38.74289
-83.127014,39.95229
-84.55137,39.29268
-84.572,40.8707
-81.299942,41.680707
-82.98333,39.983334
-82.11694,41.398524
-82.10395,41.366529
-83.041982,39.957242
-83.03697,39.95308
-84.463551,39.189109
-84.454618,39.170794
-84.446907,39.149494
-84.459357,39.170055
-84.500321,39.116854
-83.64747,41.63102
-84.467691,39.173821
-84.479198,39.190755
-83.57454,41.63082
-83.61424,41.65291
-83.62301,41.72058
-84.460014,39.203224
-81.51701,40.74733
-84.480833,39.157231
-81.893687,41.423316
-80.65522,41.11144
-80.70614,41.101
-80.67854,41.0728
-81.783262,39.583578
-84.34414,40.05185
-83.704383,41.541357
-83.679734,41.580326
-80.63706,41.06076
-82.95089,39.87498
-84.35504,39.072869
-84.398647,39.174111
-84.36844,39.2258
-84.455045,39.23334
-84.715448,39.154935
-84.39859,39.18864
-84.763268,39.268951
-84.700103,39.170955
-84.748841,39.167419
-84.379081,39.211055
-84.097801,39.696528
-84.098019,39.696169
-81.452652,41.085313
-83.51945,41.72281
-83.57031,41.66458
-84.12304,39.68089
-84.076083,39.756727
-83.54262,41.67881
-84.16375,39.68916
-84.13459,39.69757
-84.056205,39.727828
-83.5629,41.68911
-84.62972,39.15874
-84.64237,39.17481
-84.64726,39.18049
-84.6409,39.15684
-84.639578,39.142807
-84.618455,39.165443
-84.479591,39.195801
-81.903619,41.423013
-83.64455,41.68962
-83.51118,41.63899
-83.52559,41.63853
-81.55885,41.52555
-84.63576,39.11164
-84.37436,39.31474
-80.63913,41.10161
-83.14499,41.50884
-80.70115,41.10736
-80.67534,41.07424
-80.58595,41.11303
-84.078839,39.450919
-80.69014,41.118
-84.096535,39.356865
-84.000449,39.499715
-84.122269,39.424443
-84.313074,39.317491
-84.302231,39.463904
-84.219948,39.359453
-83.538203,41.60891
-83.54627,41.69321
-83.57558,41.65635
-80.64742,41.02475
-84.219388,39.339028
-84.268936,39.331656
-81.462911,41.539029
-83.01646,39.91694
-84.443451,39.145031
-80.793764,41.85052
-83.80648,39.92657
-84.336078,39.556145
-83.57225,41.65035
-84.080739,39.524104
-83.77261,39.92517
-84.415959,39.177565
-83.52664,41.66061
-84.404808,39.161002
-83.807436,39.937638
-83.814795,39.917239
-81.40535,41.166499
-83.826979,39.913569
-83.5341,41.6571
-83.811268,39.896974
-80.63487,41.04625
-83.53423,41.66705
-83.51765,41.68935
-83.55372,41.6297
-83.51389,41.66621
-83.48562,41.68779
-84.24099,40.06101
-83.57995,41.6247
-83.53974,41.67694
-81.376528,40.818599
-81.40566,40.779497
-81.353763,41.134653
-84.415937,40.544203
-84.440341,39.260744
-81.398214,41.166483
-83.99772,39.64031
-81.370386,40.799838
-81.33822,40.8139
-83.096703,40.180029
-83.58509,41.62302
-81.37862,40.8144
-81.38169,40.79986
-83.809835,39.911081
-83.53126,41.67676
-83.61187,41.6217
-84.523451,39.104891
-84.510357,39.097499
-81.362349,41.628697
-83.58941,41.68866
-84.523711,39.113431
-84.529151,39.119451
-84.320697,39.301349
-84.515931,39.105221
-83.60584,41.68248
-84.532321,39.123069
-83.55707,41.70424
-83.56986,41.68317
-83.56254,41.72171
-83.096287,39.86989
-83.027924,39.856639
-84.12438,40.734705
-83.069006,39.888985
-83.048546,39.959999
-83.0019,39.9869
-84.365083,39.350759
-84.532869,39.106072
-84.526589,39.106422
-84.21108,39.62923
-83.05172,39.94313
-83.0701,39.9459
-84.461152,39.35456
-80.66972,40.98799
-84.499551,39.118737
-83.10276,40.061329
-82.720393,41.446505
-84.22606,39.62829
-82.95993,40.02183
-84.23679,39.15213
-83.68417,41.61372
-81.643036,41.35822
-83.094803,40.31234
-83.001192,40.111217
-83.80926,39.92454
-81.41131,41.20296
-81.410882,41.2399
-81.44394,41.23998
-81.422954,40.916502
-81.503571,41.275235
-84.54282,39.30605
-84.484901,39.207413
-84.496019,39.251066
-83.62104,41.66142
-83.54202,41.62616
-83.54989,41.64186
-81.497318,41.519912
-83.61314,41.66309
-81.495185,40.983677
-83.57975,41.69238
-83.60376,41.68549
-83.61798,41.61234
-83.64429,41.68417
-82.90151,40.04808
-81.502181,41.025277
-82.558149,41.391104
-84.599081,39.114601
-81.694088,41.41604
-84.597193,39.134499
-84.599416,39.111367
-84.554666,39.129988
-84.548168,39.155729
-84.611941,39.134853
-84.580501,39.119041
-84.599515,39.118212
-84.568891,39.102821
-84.565283,39.097655
-84.015329,39.73137
-81.242444,41.72096
-83.62275,41.68122
-83.5895,41.69228
-84.356235,39.222845
-83.63292,41.69144
-83.60422,41.68073
-81.4344,40.8512
-81.539517,40.846666
-84.473321,39.331623
-81.344343,40.389362
-81.407934,41.638043
-84.172797,39.721876
-84.329213,39.402371
-84.371198,39.271224
-84.024697,39.828984
-84.026495,39.798297
-84.24689,39.848157
-81.498301,41.538849
-81.352305,41.609123
-80.58301,40.929059
-84.274558,39.083835
-81.750762,41.39228
-80.650853,40.888341
-82.788199,40.755769
-81.518454,41.519909
-80.65138,41.11317
-81.441504,41.102169
-84.073042,40.716948
-84.2461,39.081284
-82.81841,39.96471
-80.718513,40.103512
-82.791066,39.937115
-80.74636,40.98819
-82.82876,39.95478
-82.609338,41.270794
-82.81937,40.05044
-84.6188,39.11327
-84.287859,39.10972
-83.703703,41.617104
-84.365814,39.245675
-81.5031,40.82207
-84.326073,41.572289
-83.160886,40.063661
-80.932964,40.901258
-82.789005,39.931875
-81.473302,40.860238
-82.075531,41.493816
-84.361712,39.204707
-84.279775,39.306277
-84.289639,40.803803
-84.44981,39.229235
-84.459905,39.217994
-81.684678,41.351019
-84.1846,40.02962
-81.536339,41.479362
-84.246315,39.081131
-82.9857,38.73554
-81.54382,40.88123
-84.550725,39.198881
-84.521801,39.122351
-84.533588,39.139161
-84.519919,39.135375
-84.513653,39.169706
-84.518669,39.144601
-84.534873,39.152584
-84.518845,39.143326
-84.525351,39.128007
-84.507281,39.162612
-84.535631,39.175491
-84.536721,39.132599
-84.518203,39.150663
-84.536086,39.152972
-84.535933,39.143941
-84.544112,39.171674
-84.513321,39.126881
-84.487734,39.148792
-84.467681,39.202796
-82.98152,40.01938
-84.522608,39.274423
-82.81913,39.95496
-82.966395,39.972354
-82.94332,39.98122
-82.95077,39.97735
-84.36468,39.22409
-84.762443,39.266212
-84.700044,39.170871
-84.420248,39.167208
-84.37998,39.202473
-83.59566,41.68177
-83.540711,41.611477
-83.60897,41.72112
-84.45104,39.158659
-83.66463,41.61664
-84.16876,39.69408
-82.935257,39.843838
-84.11491,39.70672
-84.17535,39.70471
-83.57136,41.62267
-84.510749,39.105874
-84.13403,39.72073
-83.54822,41.63663
-81.5322,40.8804
-84.059011,39.722849
-81.441187,41.09793
-84.063263,39.70854
-84.683413,39.178135
-84.64,39.17231
-84.642899,39.16305
-84.672661,39.16663
-84.594212,39.180914
-83.56073,41.62788
-83.5152,41.72289
-84.436063,39.179498
-83.56842,41.6888
-83.51533,41.63554
-84.22536,39.63046
-84.423048,39.164975
-84.124181,41.390155
-81.462571,40.769849
-84.433323,39.166428
-84.464263,39.146031
-84.427443,39.177724
-81.323959,41.718155
-82.932723,40.03436
-83.05899,40.100189
-81.426013,40.802076
-83.691347,41.571409
-83.689384,41.562357
-81.375,41.15242
-80.61733,41.264728
-82.305562,40.994592
-82.262195,40.773183
-84.0008,39.816506
-84.31353,39.313084
-81.80797,41.254822
-81.89502,40.213319
-83.034407,40.10708
-81.37778,40.80871
-84.440316,41.092161
-81.383371,40.767957
-81.39258,40.84878
-81.463216,41.5106
-84.360857,41.305961
-84.360449,41.295789
-83.149878,41.512207
-84.01816,39.82138
-80.62254,41.08637
-81.425412,40.881675
-81.524794,40.831845
-84.228927,39.555497
-80.77943,41.10499
-83.30051,40.85511
-84.207396,39.572304
-84.213142,39.433686
-82.98628,39.73001
-83.02621,39.62355
-82.96523,39.66877
-84.598151,39.117817
-82.95368,39.58777
-81.105634,40.886412
-84.612301,39.134755
-84.561585,39.125777
-84.636772,39.168678
-84.554341,39.124941
-84.568511,39.107581
-84.622431,39.077727
-83.079656,40.290667
-84.597511,39.134831
-84.547621,39.127611
-83.01101,39.94176
-82.99442,39.94667
-82.937225,39.863472
-84.603371,39.124011
-81.504518,41.039802
-84.600761,39.128578
-82.189881,41.462672
-82.120926,41.433445
-82.21195,41.44181
-84.611431,39.133434
-82.83456,39.980483
-84.587743,39.151088
-84.565251,39.106841
-84.576411,39.120601
-84.572201,39.127641
-84.241522,39.372604
